ESO Period 102 - 103 (105) Protected Guaranteed Time Observations - ESPRESSO,,,,,,,,,,,,,
"Note: Protection column concerns the period for target protection. 6 months is the default, 24 months should be entered if the GTO proposal will run over four periods (GTO-Large).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Target id,Right Ascension,,,Declination,,,Instrument,Instrument setup,Telescope,Execution time (h),PI,Protection ,Comments
,hh,mm,ss.ss,#NAME?,pp,ss,,,,,,months (see Note),
HD4628,0,48,22.53,5,17,0.2,ESPRESSO,HR,VLT,3,Pepe,48,
HD26965,4,15,17.64,-7,38,40.4,ESPRESSO,HR,VLT,3,Pepe,48,
HD32147,5,0,48.68,-5,45,3.5,ESPRESSO,HR,VLT,3,Pepe,48,
HD115617,13,18,24.97,-18,18,31,ESPRESSO,HR,VLT,3,Pepe,48,
HD154088,17,4,27.79,-28,34,55.3,ESPRESSO,HR,VLT,3,Pepe,48,
HD192310,20,15,16.58,-27,1,57.1,ESPRESSO,HR,VLT,3,Pepe,48,
HIP40239,8,13,8.5,-13,55,1.085,ESPRESSO,HR,VLT,2,Pepe,48,
HIP42748,8,42,44.52,9,33,24.433,ESPRESSO,HR,VLT,2,Pepe,48,
HIP93069,18,57,30.6,-55,59,30.57,ESPRESSO,HR,VLT,2,Pepe,48,
HIP115332,23,21,37.471,17,17,26.063,ESPRESSO,HR,VLT,2,Pepe,48,
HD72673,8,32,52.26,-31,30,9.7,ESPRESSO,HR,VLT,2,Pepe,48,
HD152606,16,55,37.95,-32,4,0.8,ESPRESSO,HR,VLT,2,Pepe,48,
HD63077,7,45,35.18,-34,10,35.6,ESPRESSO,HR,VLT,2,Pepe,48,
HD191408,20,11,11.61,-36,5,50.6,ESPRESSO,HR,VLT,2,Pepe,48,
HD225213,0,5,20.29,-37,21,6.1,ESPRESSO,HR,VLT,2,Pepe,48,
HD20794,3,19,53.22,-43,4,17.6,ESPRESSO,HR,VLT,2,Pepe,48,
HIP85523,17,28,39.46,-46,53,35,ESPRESSO,HR,VLT,2,Pepe,48,
HD22496,3,35,0.58,-48,25,11.6,ESPRESSO,HR,VLT,2,Pepe,48,
HIP85647,17,30,11.45,-51,38,11.5,ESPRESSO,HR,VLT,2,Pepe,48,
HD160691,17,44,8.72,-51,50,0.9,ESPRESSO,HR,VLT,2,Pepe,48,
HD209100,22,3,17.44,-56,46,47.3,ESPRESSO,HR,VLT,2,Pepe,48,
HIP23708,5,5,47.41,-57,33,14.8,ESPRESSO,HR,VLT,2,Pepe,48,
HIP86214,17,37,4.24,-44,19,1,ESPRESSO,HR,VLT,2,Pepe,48,
HIP1242,0,15,27.67,-16,7,56.3,ESPRESSO,HR,VLT,2,Pepe,48,
HD10700,1,44,5.13,-15,56,22.4,ESPRESSO,HR,VLT,2,Pepe,48,
HD16160,2,36,3.83,6,53,0.1,ESPRESSO,HR,VLT,2,Pepe,48,
HIP22627,4,52,5.64,6,28,38.3,ESPRESSO,HR,VLT,2,Pepe,48,
HD42581,6,10,34.7,-21,51,46.5,ESPRESSO,HR,VLT,2,Pepe,48,
HD260655,6,37,11.27,17,33,50.4,ESPRESSO,HR,VLT,2,Pepe,48,
HD69830,8,18,23.78,-12,37,47.2,ESPRESSO,HR,VLT,2,Pepe,48,
HD304636,9,21,38.59,-60,16,56.6,ESPRESSO,HR,VLT,2,Pepe,48,
HIP51317,10,28,55.9,0,50,34,ESPRESSO,HR,VLT,2,Pepe,48,
HIP53020,10,50,52.54,6,48,36.4,ESPRESSO,HR,VLT,2,Pepe,48,
HD100623,11,34,29.95,-32,50,0,ESPRESSO,HR,VLT,2,Pepe,48,
HD102365,11,46,32.25,-40,30,4.8,ESPRESSO,HR,VLT,2,Pepe,48,
HIP62452,12,47,57.22,9,45,9.1,ESPRESSO,HR,VLT,2,Pepe,48,
HIP65859,13,29,59.12,10,22,47.2,ESPRESSO,HR,VLT,2,Pepe,48,
HD119850,13,45,42.7,14,53,42.2,ESPRESSO,HR,VLT,2,Pepe,48,
HIP67164,13,45,50.9,-17,58,0.8,ESPRESSO,HR,VLT,2,Pepe,48,
HIP71253,14,34,17.02,-12,31,15.6,ESPRESSO,HR,VLT,2,Pepe,48,
HIP86287,17,37,52.78,18,35,21.5,ESPRESSO,HR,VLT,2,Pepe,48,
HD165222,18,5,7.25,-3,1,49.8,ESPRESSO,HR,VLT,2,Pepe,48,
HIP92403,18,49,48.96,-23,50,8.8,ESPRESSO,HR,VLT,2,Pepe,48,
HD176029,18,58,0.25,5,54,39.9,ESPRESSO,HR,VLT,2,Pepe,48,
HD191849,20,13,52.75,-45,9,49.1,ESPRESSO,HR,VLT,2,Pepe,48,
HIP113020,22,53,16.16,-14,15,43.4,ESPRESSO,HR,VLT,2,Pepe,48,
ProximaCen,14,29,42.95,-62,40,46.16,ESPRESSO,HR,VLT,2,Pepe,48,
GJ699,17,57,48.5,4,41,36.21,ESPRESSO,HR,VLT,2,Pepe,48,
GJ406,10,56,28.87,7,0,52.77,ESPRESSO,HR,VLT,2,Pepe,48,
HD217987,23,5,52.04,-35,51,11.05,ESPRESSO,HR,VLT,2,Pepe,48,
Ross128,11,47,44.4,0,48,16.4,ESPRESSO,HR,VLT,2,Pepe,48,
GJ1061,3,35,59.69,-44,30,45.3,ESPRESSO,HR,VLT,2,Pepe,48,
GJ191,5,11,40.58,-45,1,6.29,ESPRESSO,HR,VLT,2,Pepe,48,
GJ83.1,2,0,12.96,13,3,7.01,ESPRESSO,HR,VLT,2,Pepe,48,
GJ3618,10,44,21.32,-61,12,38.44,ESPRESSO,HR,VLT,2,Pepe,48,
GJ388,10,19,36.28,19,52,12.13,ESPRESSO,HR,VLT,2,Pepe,48,
GJ54.1,1,12,30.64,-16,59,56.34,ESPRESSO,HR,VLT,2,Pepe,48,
